message_id,type,type_id,org,comment,ticket_id,coords,photo,after_photo,address,district,subdistrict,province,timestamp,problem_type_abdul,status,star,count_reopen,state
291762,"ทางเท้า,ความสะอาด",5,กรุงเทพมหานคร,ขยะกองทางเท้า,2022-L9HCM9,"['100.53155', '13.70536']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/8faf40206a9095815fca41ad88322f57debbe231.jpg,,2016/9 ซอย รุ่งเพชร แขวง ช่องนนทรี เขต ยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย,สาทร,ทุ่งวัดดอน,กรุงเทพมหานคร,2022-12-10 12:04:11.084571+00:00,"{ทางเท้า,ความสะอาด}",inprogress,,0,รอรับเรื่อง
291761,,12,กรุงเทพมหานคร,ตีเส้นให้หน่อยได้ไหมคะ แจ้งไปนานแล้ว เลนซ้ายเบียดเลนขวาตลอดเลยค่ะ แค่ตีเส้นเองทำไมนานจังเลยคะ ตีแบบชั่วคราวก็ได้ค่ะ ขอร้องงงงงงงงง,2022-89M37Q,"['100.59161', '13.75232']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/20d13eed5e71e14184067167fa460c8d2ebf0259.jpg,,QH2R+VQH พระราม 9 ซอย 21 แขวง บางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,ห้วยขวาง,บางกะปิ,กรุงเทพมหานคร,2022-12-10 12:04:01.882111+00:00,{},inprogress,,0,รอรับเรื่อง
291759,"ถนน,แสงสว่าง",9,กรุงเทพมหานคร,ช่วงปากซอยสุวินทวงศ์ 17 มีถนนที่เป็นหลุมเป็นบ่อ แล้วก็มีฝุ่นจากถนนตลอดเวลาที่รถขับผ่าน ส่วนตอนกลางคืนมืดมากกก ไม่มีไฟติดเลยตลอดทาง,2022-EN72Z6,"['100.81024', '13.81034']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/b83070d921165441a2e446c1de357fb62250d5b3.jpg,,19/2 ซอย สุวินทวงศ์ 19 แขวง ลำผักชี เขต หนองจอก กรุงเทพมหานคร 10530 ประเทศไทย,หนองจอก,ลำผักชี,กรุงเทพมหานคร,2022-12-10 12:02:01.336605+00:00,"{ถนน,แสงสว่าง}",inprogress,,0,กำลังดำเนินการ
291758,แสงสว่าง,14,สำนักการโยธา กทม.,ไฟถนนมืดหลายจุด บนถ.พระรามหก ตั้งแต่แยกตึกชัย จนถึง แนกตัดถ.เศรษฐสิริ,2022-NWQCUW,"['100.52927', '13.77050']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/ac33bb69b56364eab51fbb504728927b3ae0b734.jpg,,264 ถ. ราชวิถี แขวง ทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,ราชเทวี,ทุ่งพญาไท,กรุงเทพมหานคร,2022-12-10 12:00:08.650002+00:00,{แสงสว่าง},inprogress,,0,กำลังดำเนินการ
291757,"ถนน,ความปลอดภัย,ท่อระบายน้ำ",12,กรุงเทพมหานคร,ถนนวางท่อระบายน้ำใหม่ เว้นร่องไว้ให้รถจักรยานล้อติดเกิดอุบัติเหตุเสี่ยงตาย จะเว้นร่องไว้ให้เกิดอุบัติเหตุทำไม?,2022-3FXATK,"['100.55023', '13.72365']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/542b56c65aab59b45498fb6e40443042f70af114.jpg,,294 ซอย สุวรรณสวัสดิ์ แขวง ทุ่งมหาเมฆ เขต สาทร กรุงเทพมหานคร 10120 ประเทศไทย,สาทร,ทุ่งมหาเมฆ,กรุงเทพมหานคร,2022-12-10 11:59:50.925038+00:00,"{ถนน,ความปลอดภัย,ท่อระบายน้ำ}",inprogress,,0,รอรับเรื่อง
291756,ถนน,6,กรุงเทพมหานคร,ทิ้งน้ำเสียลงบนถนนส่งกลิ่นเหม็น,2022-FXXT23,"['100.65027', '13.83123']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/a91786b30c0af18497fafd73506fa560872d3a88.jpg,,25/31 นวมินทร์ แขวง นวลจันทร์ เขต บึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย,บึงกุ่ม,นวลจันทร์,กรุงเทพมหานคร,2022-12-10 11:59:38.964348+00:00,{ถนน},inprogress,,0,กำลังดำเนินการ
291754,ความสะอาด,12,กรุงเทพมหานคร,"📣🔉🔊 แจ้งติดป้าย ❌ 🙅‍♀️🙅‍♂️🙅😤😠😡
ผิด พ.ร.บ.รักษาความสะอาด และความเป็นระเบียบเรียบร้อยของบ้านเมือง
📸
🚩ตรงวินเนอร์ อพาร์ทเท้นท์
🛣️ถ.นวมินทร์
🙏👷‍♂️👷👷‍♀️ 🎤ขอขอบคุณ เจ้าหน้าที่ทุกท่าน
ในการจัดการปัญหาดังกล่าว🥀🎁✌️✌️👏👏👏",2022-EDYTXW,"['100.66065', '13.83275']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/9ad554eb74a7d4f03192596e9f7094d1db64ef0c.jpg,,75 ถนน นวมินทร์ แขวง รามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230 ประเทศไทย,คันนายาว,รามอินทรา,กรุงเทพมหานคร,2022-12-10 11:58:56.970779+00:00,{ความสะอาด},inprogress,,0,กำลังดำเนินการ
291752,ถนน,12,กรุงเทพมหานคร,อยากให้เข้ามาปรับปรุงถนนในซอยค่ะตอนนี้มีการเอาสิ่งก่อสร้างมาถมถนนเพื่อให้สูงขึ้นแต่ลำบากในการขับรถเข้าออก,2022-DZ6PMH,"['100.63091', '13.90272']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/c4704555b565922aab56068b9cbdccc284f50404.jpg,,169/284 ซอย วัดกลุ่มเจริญศักธา 2 แขวง คลองถนน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,สายไหม,คลองถนน,กรุงเทพมหานคร,2022-12-10 11:57:55.747329+00:00,{ถนน},report,,0,รอรับเรื่อง
291751,"ความปลอดภัย,แสงสว่าง",12,กรุงเทพมหานคร,ไฟถนนตรงหน้าบ้านเลขที่400/40ติดๆดับๆนานหลายเดือนแล้วค่ะ  อันตรายมากค่ะพอไฟดับแล้วมืดมากมีรถสัญจรตลอดเวลา ผู้คนเดินเยอะ อันตรายมากค่ะ,2022-8REULU,"['100.58781', '13.88336']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/445aae7916c584179c370cf413198bb7a07ff037.jpg,,400/41 ซอยแจ้งวัฒนะ 6 แขวง ตลาดบางเขน เขต หลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย,หลักสี่,ตลาดบางเขน,กรุงเทพมหานคร,2022-12-10 11:56:58.369315+00:00,"{ความปลอดภัย,แสงสว่าง}",report,,0,รอรับเรื่อง
291750,ร้องเรียน,18,กรุงเทพมหานคร,ตั้งแต่ตลาดเทิดไท ไปจนถึง ปากซอยโบราณ ฝุ่นละอองเยอะมา ขอความอนุเคราะห์จากเขตลาดกระบังมาดูแลประชาชนด้วย เนื่องจากประชาชนเดือดร้อนมาก 😌😌,2022-PBKQ2H,"['100.85145', '13.69696']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/00466ea890eae0f2dbb8cc4134f0a95729bc8809.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/50ed1ea59c74e82b1492cb5e75419a4910c04d38.jpg,เลขที่ 1 ตลาดเทิดไท ถ. หลวงแพ่ง แขวง ขุมทอง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,ลาดกระบัง,ขุมทอง,กรุงเทพมหานคร,2022-12-10 11:56:15.674116+00:00,{ร้องเรียน},finish,5.0,0,เสร็จสิ้น
